Sample,Exchanged Metanol,N Blocked
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,0.9999952495446619,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,1
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,0.9570559983613671,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
CIR_19,1.0,7
